,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,MSFT__hl,MSFT__co,MSFT__ocp,MSFT__log_returns,MSFT__lret_squared,MSFT__earning_horizon1,MSFT__earning_horizon2,MSFT__earning_horizon3,MSFT__earning_horizon4,AAPL,MSFT
2015-11-13,0.0252031374517159,-0.0218824053262714,-0.0037136202126905,-0.0255960255389622,0.0006551565233912,0,0,0,0,0.0134128770069555,-0.0032387565315793,-0.0093059743255121,-0.0125447308570918,0.0001573702722768,0,0,0,0,0.1920861252158049,0.2084956565682655
2015-11-16,0.024194094238708,0.0109346980317296,-0.0035857683922004,0.0073489296395292,5.400676684675176e-05,0,0,0,0,0.018095455508568,0.0160243320140724,-0.002877021203916,0.0131473108101567,0.0001728517815388,0,0,0,0,0.2556468792482947,0.1354530396434787
2015-11-17,0.0109384607520621,-0.0025875027559168,0.0015346863751115,-0.0010528163808052,1.1084223316918286e-06,0,0,0,0,0.0091993514623333,-0.0075155424464436,0.0004703428879164,-0.0070451995585272,4.963483681947223e-05,0,0,0,0,0.1225465919624192,0.072252636526437
2015-11-18,0.0218718633512535,0.0163594721790516,0.007793463433433,0.0241529356124847,0.0005833642987008,0,0,0,0,0.0129113843763661,0.0098458294553666,0.0001922536849831,0.0100380831403494,0.0001007631131325,0,0,0,0,0.2225504183985042,0.1075975164392283
2015-11-19,0.0251186617428386,0.0138302174227186,0.0056027150942981,0.0194329325170166,0.0003776388662109,0,0,0,0,0.0163339017059637,0.0106392708594688,0.0026139362931385,0.0132532071526072,0.0001756474998299,0,0,0,0,0.2622781844979069,0.1559460128391694
2015-11-20,0.0087958682272663,-4.192256902178127e-05,0.0023075147974107,0.0022655922283889,5.132908145336441e-06,0,0,0,0,0.0187755306311986,-0.0038770472270116,-0.000550797242254,-0.0044278444692658,1.9605806644007797e-05,0,0,0,0,0.1053086598047107,0.2074386219924685
2015-11-23,0.0178649803149316,-0.0151837585984469,0.0015499657502625,-0.013633792848184,0.0001858803074271,0,0,0,0,0.0115659647372685,-0.0062969970182936,0.0022191415064641,-0.0040778555118294,1.6628905575358127e-05,0,0,0,0,0.1355596830350131,0.1193156449637191
2015-11-24,0.0152123812317585,0.0086192343530966,-0.000408243115888,0.0082109912372088,6.742037709751985e-05,0,0,0,0,0.0135851919999083,0.0040710640978637,0.0016702240126634,0.0057412881105274,3.2962389168083644e-05,0,0,0,0,0.1482178085992001,0.1494786138245425
2015-11-25,0.0101130138824161,-0.0065656801517515,0.0047937520840366,-0.0017719280677153,3.139729077157318e-06,0,0,0,0,0.0074033282801033,-0.0025892376218803,-0.0001846892608445,-0.0027739268827247,7.69467035070282e-06,0,0,0,0,0.1203368808619799,0.0791324218963173
2015-11-27,0.006610213521287,-0.001945772789354,-0.0007603599403213,-0.0027061327296751,7.3231543506189476e-06,0,0,0,0,0.0042628180574411,0.0024094164190644,-0.0020391146188697,0.0003703018001948,1.371234232275219e-07,0,0,0,0,0.0726821687374784,0.0526527717361063
2015-11-30,0.0134974577597662,0.0081040457035178,-0.0009319270382605,0.0071721186652569,5.1439286148526566e-05,0,0,0,0,0.0174414861389231,0.0115124243757058,0.0024036250825301,0.0139160494582357,0.000193656432524,0,0,0,0,0.1295393630729422,0.1639631927766175
2015-12-01,0.0139005602512792,-0.013226989458784,-0.0017671566007463,-0.0149941460595304,0.0002248244160545,0,0,0,0,0.0146254892189792,0.0065837838402584,-0.0050696961535068,0.0015140876867514,2.2924615231722987e-06,0,0,0,0,0.0900130456106517,0.1709072623469676
2015-12-02,0.0107279000362796,-0.0014495002958561,-8.70568635504226e-05,-0.0015365571594063,2.361007904122976e-06,0,0,0,0,0.0149493239354024,0.0057853786446875,0.0043706752806877,0.0101560539253755,0.0001031454313351,0,0,0,0,0.1195761193662241,0.1723787650781953
2015-12-03,0.0190089916356287,-0.0190089916356288,-0.00145759652443,-0.0204665881600587,0.0004188812309134,0,0,0,0,0.0318817420369928,-0.023912794072761,0.0003608154468152,-0.0235519786259459,0.000554695697197,0,0,0,0,0.104351417232293,0.2691473159137806
2015-12-04,0.0338233625361127,0.0332583864292697,0.0046137533672423,0.0378721397965118,0.0014342989727665,0,0,0,0,0.0329090691861182,0.0308778617663069,0.0014768324633605,0.0323546942296677,0.0010468262386952,0,0,0,0,0.2045340396809976,0.2102249090062004
2015-12-07,0.0145558078726706,-0.0068299940873797,-0.0003705195844344,-0.007200513671814,5.1847397137981314e-05,0,0,0,0,0.0085497528411068,-0.0012559434682237,-0.0025071646370918,-0.0037631081053159,1.4160982612294925e-05,0,0,0,0,0.1489608198449039,0.1031545906846668
2015-12-08,0.0139314591736845,-0.0014842775354908,-0.0016936239123218,-0.0031779014478128,1.0099057612010853e-05,0,0,0,0,0.0188991327425609,0.0120385965642443,-0.0068456401366805,0.0051929564275638,2.6966796458577217e-05,0,0,0,0,0.1579972965130282,0.2066532943201659
